DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,
6/14/2008,WEST,101,71,70,77,116,137,181,205,184,107,113,142,160,165,177,192,202,191,179,150,154,228,280,239,
6/15/2008,WEST,274,217,298,342,421,476,495,447,230,92,49,89,195,274,359,460,422,277,133,140,124,133,255,321,
6/16/2008,WEST,386,420,322,238,170,164,169,167,130,149,264,282,310,387,470,526,482,490,486,481,332,193,185,127,
6/17/2008,WEST,114,113,131,178,128,101,130,127,88,113,151,229,264,261,278,340,401,447,446,452,372,260,247,274,
6/18/2008,WEST,311,370,400,392,375,362,325,279,193,132,170,205,315,427,440,454,465,383,317,241,118,44,81,153,
6/19/2008,WEST,168,196,207,194,179,183,176,181,78,36,27,54,122,136,141,126,108,88,54,40,37,46,42,31,
6/20/2008,WEST,20,21,57,106,111,112,124,118,83,46,37,49,44,51,45,60,82,89,90,88,71,88,70,76,
6/21/2008,WEST,111,179,182,183,159,142,162,134,112,145,96,60,115,184,232,263,286,349,376,303,101,33,65,75,
6/22/2008,WEST,98,167,161,118,119,107,135,105,62,88,143,211,277,365,367,372,426,412,428,452,269,130,133,78,
6/23/2008,WEST,82,90,66,93,90,144,209,179,78,46,53,82,112,90,109,118,107,96,110,121,100,60,55,77,
6/24/2008,WEST,124,219,207,187,161,143,151,132,97,85,72,62,74,76,98,114,95,80,112,264,147,150,133,183,
6/25/2008,WEST,251,369,365,186,187,155,81,135,117,128,166,194,287,329,345,220,232,272,278,218,97,67,95,201,
6/26/2008,WEST,235,312,478,520,443,251,164,139,211,160,128,108,112,103,160,224,297,221,150,140,124,68,77,114,
6/27/2008,WEST,123,109,112,175,170,166,286,359,266,273,344,190,190,348,398,305,296,247,123,91,94,132,253,260,
6/28/2008,WEST,350,471,473,398,328,361,381,287,270,305,309,398,346,400,557,697,666,735,731,686,551,409,293,399,
6/29/2008,WEST,536,565,546,568,537,486,472,404,338,332,270,247,292,345,428,350,431,448,442,424,299,303,377,372,
6/30/2008,WEST,336,263,231,198,185,184,238,226,163,76,54,78,132,188,216,230,258,320,303,230,137,97,79,93,
7/1/2008,WEST,112,133,175,226,233,255,260,233,162,58,39,30,52,68,82,82,118,150,138,114,91,165,239,305,
7/2/2008,WEST,338,340,426,504,548,528,500,449,416,399,500,517,511,572,571,557,522,530,484,454,482,429,409,391,
7/3/2008,WEST,304,292,249,300,318,303,334,325,296,340,361,320,296,230,184,162,140,114,97,132,151,218,181,184,
7/4/2008,WEST,228,223,227,238,179,136,121,88,47,13,6,26,67,53,26,24,12,9,11,10,17,22,41,100,
7/5/2008,WEST,126,110,113,91,48,43,50,40,29,10,7,13,13,9,9,14,16,11,10,10,11,23,39,71,
7/6/2008,WEST,127,139,141,93,45,43,48,80,92,72,158,215,205,235,248,244,257,242,221,201,188,211,246,260,
7/7/2008,WEST,307,270,216,186,240,116,80,242,365,321,223,193,130,206,290,343,404,433,439,364,313,372,474,525,
7/8/2008,WEST,463,384,269,272,128,142,176,209,163,293,174,137,162,204,141,90,68,63,92,115,110,176,191,261,
7/9/2008,WEST,282,254,231,286,361,362,303,337,286,193,164,173,165,136,96,96,107,92,67,61,78,101,155,170,
