DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,,,
6/15/2009,WEST,278,234,279,333,306,409,474,512,437,267,193,218,285,368,366,309,239,221,201,170,163,187,313,432,,,
6/16/2009,WEST,367,412,447,483,483,495,548,608,558,555,606,718,497,463,447,497,467,364,312,316,305,308,309,389,,,
6/17/2009,WEST,339,302,305,328,383,392,382,342,296,329,274,216,169,165,199,207,196,203,188,158,121,129,191,215,,,
6/18/2009,WEST,284,214,222,265,398,539,578,663,640,766,716,356,229,258,350,345,392,459,553,493,414,344,409,483,,,
6/19/2009,WEST,556,761,755,697,710,614,536,547,568,669,644,538,376,321,482,670,609,621,692,623,521,425,448,672,,,
6/20/2009,WEST,784,742,657,688,735,637,565,478,456,433,425,411,448,513,513,480,441,415,395,387,387,359,319,287,,,
6/21/2009,WEST,285,286,277,280,274,272,270,280,260,270,269,259,211,189,203,237,253,259,276,230,213,247,320,367,,,
6/22/2009,WEST,357,373,348,315,263,224,168,279,170,112,120,131,110,106,115,119,133,115,131,123,122,167,184,163,,,
6/23/2009,WEST,116,104,92,82,62,49,28,17,2,2,9,16,17,16,25,35,39,50,61,77,79,229,289,199,,,
6/24/2009,WEST,145,69,61,57,67,84,57,50,15,27,46,40,42,16,19,39,39,53,64,53,51,70,89,101,,,
6/25/2009,WEST,136,120,125,160,201,185,148,118,94,85,65,66,71,100,117,181,226,202,178,150,296,227,176,223,,,
6/26/2009,WEST,279,421,265,283,270,267,213,174,153,138,156,164,212,192,192,154,135,161,211,285,240,210,178,191,,,
6/27/2009,WEST,260,286,327,390,415,406,361,383,283,198,152,166,175,182,196,220,235,249,344,300,431,389,621,494,,,
6/28/2009,WEST,623,681,741,773,707,748,805,761,799,1005,1077,1097,1050,968,1053,1098,1191,1205,1173,1086,838,639,696,763,,,
6/29/2009,WEST,866,904,909,780,842,728,765,732,588,696,985,1223,1244,1249,1276,1279,1234,1187,1136,1008,798,634,569,540,,,
6/30/2009,WEST,527,579,586,644,540,474,349,274,252,324,348,402,471,604,733,668,665,641,491,442,329,194,152,140,,,
7/1/2009,WEST,201,121,75,46,69,103,124,70,89,141,140,163,202,269,289,322,386,388,329,266,190,205,252,216,,,
7/2/2009,WEST,200,223,151,112,157,192,217,216,154,131,158,198,230,313,341,360,314,310,310,309,281,226,186,194,,,
7/3/2009,WEST,190,207,266,315,309,278,309,255,228,238,240,229,211,213,240,231,240,277,282,259,260,260,232,193,,,
7/4/2009,WEST,193,191,222,315,324,346,262,197,291,368,346,307,286,307,358,489,584,600,602,575,491,522,437,283,,,
7/5/2009,WEST,256,207,215,213,212,208,233,220,150,115,151,179,135,125,69,42,28,38,59,71,72,86,76,71,,,
7/6/2009,WEST,94,84,105,147,125,115,112,112,62,11,10,29,80,103,110,126,154,221,259,171,119,108,147,163,,,
7/7/2009,WEST,171,171,191,220,233,275,242,159,95,82,88,88,98,110,124,144,226,201,236,349,201,193,181,170,,,
7/8/2009,WEST,125,121,170,184,205,213,277,299,317,277,240,379,391,513,472,469,483,462,503,572,626,567,400,428,,,
7/9/2009,WEST,408,417,456,431,404,354,347,295,239,146,107,117,140,100,91,68,52,55,71,86,73,152,276,468,,,
7/10/2009,WEST,590,566,477,397,376,263,186,131,83,95,175,319,247,252,279,147,276,385,381,340,207,109,194,244,,,
7/11/2009,WEST,325,396,421,432,406,368,336,303,226,197,114,112,195,174,122,129,190,271,265,209,269,376,547,580,,,
7/12/2009,WEST,564,551,483,451,506,481,442,398,232,104,75,51,32,36,74,106,147,143,122,71,41,45,63,95,,,
7/13/2009,WEST,126,147,150,147,173,232,217,144,43,18,20,41,37,42,52,65,58,60,59,82,110,155,213,248,,,
7/14/2009,WEST,275,355,342,335,327,333,361,356,371,334,259,255,229,230,236,196,212,254,289,344,326,365,403,391,,,
7/15/2009,WEST,483,492,545,537,594,556,336,334,427,472,361,386,422,442,452,540,528,485,441,310,268,325,445,580,,,
7/16/2009,WEST,556,585,549,501,454,468,480,458,350,240,227,221,219,254,321,415,422,399,339,283,302,431,471,708,,,
7/17/2009,WEST,630,673,699,564,483,387,460,417,263,279,358,437,604,757,811,929,923,848,860,713,639,631,526,405,,,
7/18/2009,WEST,371,362,367,364,357,335,267,289,293,267,251,278,256,225,181,244,209,225,263,247,155,197,247,233,,,
7/19/2009,WEST,223,197,181,151,92,114,128,118,42,13,-1,-1,12,3,11,15,7,-3,-6,-4,-4,-5,-5,-4,,,
7/20/2009,WEST,0,8,23,54,85,92,49,37,20,7,10,33,69,60,45,36,24,34,57,81,67,65,113,161,,,
7/21/2009,WEST,219,275,278,366,419,371,385,397,301,174,134,161,159,108,106,137,85,70,77,135,145,159,144,162,,,
7/22/2009,WEST,186,144,158,156,118,65,48,43,17,27,34,42,59,56,32,26,46,58,58,45,66,95,89,92,,,
7/23/2009,WEST,103,138,154,157,147,172,168,153,85,20,21,38,75,77,88,124,201,242,237,225,171,124,75,109,,,
7/24/2009,WEST,161,201,223,195,212,239,234,136,84,44,35,84,161,253,299,281,267,321,290,311,382,569,791,836,,,
7/25/2009,WEST,539,533,499,367,307,412,384,274,259,329,314,390,481,629,814,813,833,812,773,567,532,605,676,685,,,
7/26/2009,WEST,724,615,546,536,581,672,597,421,311,224,235,351,495,492,492,427,421,378,289,221,192,245,318,349,,,
7/27/2009,WEST,309,303,325,298,284,317,286,175,88,52,37,87,136,178,228,302,348,364,324,224,241,328,413,583,,,
7/28/2009,WEST,583,493,434,464,568,615,534,442,355,181,69,13,15,13,40,38,191,229,221,74,163,158,89,174,,,
