Market Day,Central ActualLoad (MWh),Central MTLF (MWh),East ActualLoad (MWh),East MTLF (MWh),MISO ActualLoad (MWh),MISO ISO MTLF (MWh),MISO MTLF (MWh),Midwest ISO ActualLoad (MWh),Midwest ISO MTLF (MWh),North ActualLoad (MWh),North MTLF (MWh),South ActualLoad (MWh),South MTLF (MWh),West ActualLoad (MWh),West MTLF (MWh)
03/16/2011,21543.2225,21558.7083333,28546.4458333,28668.0,,,,65962.8,66092.875,,,,,15873.1316667,15866.1666667
03/17/2011,20663.23125,20756.3333333,27956.4795833,28296.875,,,,64158.67125,64726.0416667,,,,,15538.9604167,15672.8333333
03/18/2011,19886.18375,20114.4166667,27045.7208333,27772.6666667,,,,62440.0866667,63573.0,,,,,15508.1820833,15685.9166667
03/19/2011,19051.5245833,18825.9166667,25031.6354167,25204.625,,,,58557.1425,58166.7916667,,,,,14473.9825,14136.25
03/20/2011,18554.6154167,18139.375,24685.7075,24668.75,,,,57356.89875,56497.5833333,,,,,14116.5758333,13689.4583333
03/21/2011,20084.17125,20319.5416667,27842.47375,28130.3333333,,,,63514.4695833,64403.4583333,,,,,15587.8245833,15953.5833333
03/22/2011,20089.2504167,20067.0,29001.61375,29153.7916667,,,,65412.7941667,65056.5,,,,,16321.93,15835.7083333
03/23/2011,20057.09375,19913.4583333,29841.3408333,29593.0416667,,,,66246.4995833,65999.375,,,,,16348.065,16492.875
03/24/2011,22285.3470833,21951.1666667,29659.3083333,30255.5833333,,,,68304.2908333,68880.375,,,,,16359.6354167,16673.625
03/25/2011,22813.2516667,22762.5,29474.1445833,29671.4166667,,,,68352.9979167,68817.8333333,,,,,16065.6016667,16383.9166667
03/26/2011,21947.98125,21497.2083333,26857.64625,26817.0833333,,,,63899.3133333,63500.1666667,,,,,15093.6858333,15185.875
03/27/2011,21220.5683333,21195.375,25519.03,25994.9166667,,,,61448.8295833,61898.2083333,,,,,14709.23125,14707.9166667
03/28/2011,22414.5866667,22771.3333333,29228.0554167,29805.9166667,,,,67801.0191667,69038.6666667,,,,,16158.3770833,16461.4166667
03/29/2011,22636.1025,22495.0416667,29121.0279167,29718.0,,,,67798.43375,68517.25,,,,,16041.3033333,16304.2083333
03/30/2011,22441.91,22269.2083333,29121.7154167,29269.875,,,,67428.6970833,67486.1666667,,,,,15865.0716667,15947.0833333
03/31/2011,22194.71,22253.75,28806.83125,29455.625,,,,66792.42375,67516.7083333,,,,,15790.8825,15807.3333333
04/01/2011,21553.4095833,21131.375,27849.9279167,28571.7083333,,,,64879.7775,65254.0,,,,,15476.44,15550.9166667
04/02/2011,19300.8,19144.5,24877.70625,25449.9166667,,,,58165.9191667,58723.5833333,,,,,13987.4129167,14129.1666667
04/03/2011,18555.2833333,18340.2083333,24539.3079167,24675.4166667,,,,56845.9341667,56695.25,,,,,13751.3429167,13679.625
04/04/2011,20511.3870833,20234.75,27662.2179167,28244.9583333,,,,63696.8741667,64090.7083333,,,,,15523.2691667,15611.0
